,Experience_Years,Job_Position,Salary,Year
873,2,2,64630.0,2020
874,2,2,72000.0,2020
875,2,3,48644.0,2020
876,2,3,51888.0,2020
877,2,3,70000.0,2020
878,2,3,59454.0,2020
879,2,3,67020.0,2020
880,2,3,48644.0,2020
881,2,3,60000.0,2020
882,2,3,59454.0,2020
883,2,3,51347.0,2020
884,2,3,67861.0,2020
885,2,3,54049.0,2020
886,2,3,62579.0,2020
887,2,3,58264.0,2020
888,2,3,61140.0,2020
889,2,3,57000.0,2020
890,2,3,50806.0,2020
891,2,3,64859.0,2020
892,2,3,56723.0,2020
893,2,3,50000.0,2020
894,2,3,67000.0,2020
895,2,3,54049.0,2020
896,2,3,64737.0,2020
897,2,3,73500.0,2020
898,2,3,72000.0,2020
899,2,3,64859.0,2020
900,2,3,50806.0,2020
901,2,3,54049.0,2020
902,2,3,56120.0,2020
903,2,3,60505.0,2020
904,2,3,59454.0,2020
905,2,3,64859.0,2020
906,2,3,62366.0,2020
907,2,3,67215.0,2020
908,2,3,71211.0,2020
909,2,3,70264.0,2020
910,2,3,56788.0,2020
911,2,3,52968.0,2020
912,2,3,58000.0,2020
913,2,3,51000.0,2020
914,2,3,58373.0,2020
915,2,3,70264.0,2020
916,2,3,54049.0,2020
917,2,3,64859.0,2020
918,2,3,56723.0,2020
919,2,3,60000.0,2020
920,2,3,60505.0,2020
921,2,3,64630.0,2020
922,2,3,72000.0,2020
923,2,1,50000.0,2019
924,2,1,65000.0,2019
925,2,1,50000.0,2019
926,2,1,50000.0,2019
927,2,1,68000.0,2019
928,2,1,61000.0,2019
929,2,1,65000.0,2019
930,2,1,56000.0,2019
931,2,1,49000.0,2019
932,2,1,72000.0,2019
933,2,1,60000.0,2019
934,2,1,70000.0,2019
935,2,1,70200.0,2019
936,2,1,55368.0,2019
937,2,1,63000.0,2019
938,2,1,70000.0,2019
939,2,1,55000.0,2019
940,2,1,60000.0,2019
941,2,1,51000.0,2019
942,2,1,50000.0,2019
943,2,1,52623.0,2019
944,2,1,51500.0,2019
945,2,1,57600.0,2019
946,2,1,65000.0,2019
947,2,1,72000.0,2019
948,2,1,65000.0,2019
949,2,1,55000.0,2019
950,2,1,72000.0,2019
951,2,1,50000.0,2019
952,2,1,62000.0,2019
953,2,1,63609.0,2019
954,2,1,60000.0,2019
955,2,1,72000.0,2019
956,2,1,70000.0,2019
957,2,1,62000.0,2019
958,2,1,60000.0,2019
959,2,1,58000.0,2019
960,2,1,70000.0,2019
961,2,1,51700.0,2019
962,2,1,58000.0,2019
963,2,1,65000.0,2019
964,2,1,71550.0,2019
965,2,1,52000.0,2019
966,2,1,55000.0,2019
967,2,1,53600.0,2019
968,2,1,50000.0,2019
969,2,1,60000.0,2019
970,2,1,52000.0,2019
971,2,1,60000.0,2019
972,2,1,70000.0,2019
973,2,1,55000.0,2019
974,2,1,53000.0,2019
975,2,1,50000.0,2019
976,2,1,49000.0,2019
977,2,1,51000.0,2019
978,2,1,51500.0,2019
979,2,1,52000.0,2019
980,2,1,55000.0,2019
981,2,1,63000.0,2019
982,2,1,52000.0,2019
983,2,1,70000.0,2019
984,2,1,57250.0,2019
985,2,1,71000.0,2019
986,2,1,74000.0,2019
987,2,1,65000.0,2019
