YearsCodePro,DevType,ConvertedComp,OrgSize,Year
5,Data Analyst,25020.0,10-100,2020
20,Data Analyst,37968.0,10-100,2020
7,Data Analyst,11244.0,10-100,2020
3,Data Analyst,31128.0,10-100,2020
4,Data Analyst,9048.0,2-9,2020
2,Data Analyst,10751.0,100-1000,2020
10,Data Analyst,32424.0,1,2020
14,Data Analyst,100000.0,10000+,2020
19,Data Analyst,17664.0,1000-4999,2020
9,Data Analyst,41510.0,5000-9999,2020
20,Data Analyst,25944.0,1000-4999,2020
9,Data Analyst,70264.0,10-100,2020
1,Data Analyst,48644.0,2-9,2020
14,Data Analyst,28536.0,2-9,2020
4,Data Analyst,36753.0,10000+,2020
7,Data Analyst,38916.0,10-100,2020
22,Data Analyst,96013.0,10000+,2020
9,Data Analyst,71211.0,1000-4999,2020
5,Data Analyst,15588.0,10-100,2020
32,Data Analyst,86606.0,1,2020
4,Data Analyst,51888.0,1,2020
20,Data Analyst,48644.0,5000-9999,2020
11,Data Analyst,75669.0,10-100,2020
3,Data Analyst,60000.0,10-100,2020
15,Data Analyst,90804.0,2-9,2020
20,Data Analyst,48684.0,2-9,2020
7,Data Analyst,69000.0,100-1000,2020
15,Data Analyst,42528.0,100-1000,2020
12,Data Analyst,45396.0,2-9,2020
8,Data Analyst,109871.0,5000-9999,2020
4,Data Analyst,62697.0,1000-4999,2020
9,Data Analyst,93517.0,5000-9999,2020
8,Data Analyst,56211.0,100-1000,2020
1,Data Analyst,12216.0,10-100,2020
20,Data Analyst,70264.0,100-1000,2020
20,Data Analyst,32429.0,1000-4999,2020
15,Data Analyst,479952.0,10-100,2020
8,Data Analyst,40032.0,1000-4999,2020
33,Data Analyst,174500.0,1000-4999,2020
15,Data Analyst,1000000.0,1000-4999,2020
2,Data Analyst,35550.0,1,2020
27,Data Analyst,135100.0,10000+,2020
12,Data Analyst,71093.0,5000-9999,2020
Less than 1 year,Data Analyst,36193.0,100-1000,2020
20,Data Analyst,45241.0,100-1000,2020
3,Data Analyst,68507.0,100-1000,2020
Less than 1 year,Data Analyst,4747.0,10000+,2020
33,Data Analyst,77832.0,100-1000,2020
31,Data Analyst,243200.0,2-9,2020
20,Data Analyst,90482.0,10000+,2020
